text,label
"Congratulations! You have won a free prize. Click the link to claim now.","phishing"
"Your account has been suspended. Verify your information immediately.","phishing"
"Urgent! Click here to confirm your bank account.","phishing"
"You have received a payment. Login now to verify your account.","phishing"
"Your password will expire today. Click this link immediately.","phishing"
"Warning! Your account will be closed unless you verify your identity.","phishing"
"Your bank account requires immediate verification. Click here.","phishing"
"You have won a $1000 reward. Claim your prize now.","phishing"
"Unusual login detected. Verify your account immediately.","phishing"
"Click this link to update your payment information.","phishing"
"Urgent security alert! Confirm your credentials now.","phishing"
"Your account has been compromised. Login immediately.","phishing"
"Congratulations! You are selected for a special reward.","phishing"
"Verify your password now to avoid account suspension.","phishing"
"Your credit card has been blocked. Click here to reactivate it.","phishing"
"Important! Confirm your banking details immediately.","phishing"
"Click here to receive your free gift.","phishing"
"Your mailbox is full. Login to increase your storage.","phishing"
"Security warning! Your account needs verification.","phishing"
"Act now! Your account will be permanently deleted.","phishing"
"Meeting scheduled for tomorrow at 10 AM.","safe"
"Please find the project report attached.","safe"
"Can we meet tomorrow to discuss the project?","safe"
"Your electricity bill is attached for your records.","safe"
"Thank you for submitting your assignment.","safe"
"Please review the attached document before the meeting.","safe"
"The team meeting has been moved to Friday.","safe"
"Your order has been shipped and will arrive tomorrow.","safe"
"Here are the notes from today's lecture.","safe"
"Please send me the project files when you have time.","safe"
"The examination schedule has been published.","safe"
"Your appointment is confirmed for Monday.","safe"
"Please find the monthly report attached.","safe"
"Let's discuss the project requirements tomorrow.","safe"
"Your payment receipt is attached for your records.","safe"
"The class will begin at 9 AM tomorrow.","safe"
"Please submit your assignment before Friday.","safe"
"Thank you for attending the meeting.","safe"
"Here is the presentation for tomorrow's seminar.","safe"
"The project deadline has been extended to next week.","safe"
